"","Process_type","Type","sum(pkn * c(1:K_))"
"1","Pkn_1","Posterior",2.0683
"2","Pkn_1","Prior",1.302
"3","Pkn_2","Posterior",3.054175
"4","Pkn_2","Prior",1.501
"5","Pkn_3","Posterior",3.02345
"6","Pkn_3","Prior",1.694
