"","Process_type","Type","sum(pkn * c(1:K_))"
"1","Pkn_1","Posterior",5.113125
"2","Pkn_1","Prior",8.024
"3","Pkn_2","Posterior",4.203
"4","Pkn_2","Prior",8.062
"5","Pkn_3","Posterior",3.526875
"6","Pkn_3","Prior",8.036
"7","Pkn_4","Posterior",3.552875
"8","Pkn_4","Prior",8.093
