"","Process_type","Type","sum(pkn * c(1:K_))"
"1","Pkn_1","Posterior",3.00075
"2","Pkn_1","Prior",1.031
"3","Pkn_2","Posterior",3.0001875
"4","Pkn_2","Prior",1.026
"5","Pkn_3","Posterior",3.000125
"6","Pkn_3","Prior",1.015
"7","Pkn_4","Posterior",3.066625
"8","Pkn_4","Prior",1.009
