"","Process_type","Type","sum(pkn * c(1:K_))"
"1","Pkn_1","Posterior",3.4269375
"2","Pkn_1","Prior",5.02
"3","Pkn_2","Posterior",3.274375
"4","Pkn_2","Prior",5.012
"5","Pkn_3","Posterior",3.1575625
"6","Pkn_3","Prior",5.041
"7","Pkn_4","Posterior",3.1174375
"8","Pkn_4","Prior",5.006
