"","Process_type","Type","sum(pkn * c(1:K_))"
"1","Pkn_1","Posterior",4.122875
"2","Pkn_1","Prior",6.888
"3","Pkn_2","Posterior",6.392875
"4","Pkn_2","Prior",9.563
"5","Pkn_3","Posterior",7.829875
"6","Pkn_3","Prior",9.955
"7","Pkn_4","Posterior",9.0069375
"8","Pkn_4","Prior",9.996
