"","Process_type","Type","sum(pkn * c(1:K_))"
"1","Pkn_1","Posterior",3.9824375
"2","Pkn_1","Prior",6.748
"3","Pkn_2","Posterior",5.9859375
"4","Pkn_2","Prior",9.455
"5","Pkn_3","Posterior",7.18675
"6","Pkn_3","Prior",9.93
"7","Pkn_4","Posterior",8.425875
"8","Pkn_4","Prior",9.991
