"","Process_type","Type","sum(pkn * c(1:K_))"
"1","Pkn_1","Posterior",4.90823333333333
"2","Pkn_1","Prior",6.888
"3","Pkn_2","Posterior",6.8298
"4","Pkn_2","Prior",9.563
"5","Pkn_3","Posterior",8.0956
"6","Pkn_3","Prior",9.955
"7","Pkn_4","Posterior",8.80576666666667
"8","Pkn_4","Prior",9.996
