"","Process_type","Type","sum(pkn * c(1:K_))"
"1","Pkn_1","Posterior",2.72726666666667
"2","Pkn_1","Prior",1.302
"3","Pkn_2","Posterior",3.03546666666667
"4","Pkn_2","Prior",1.501
"5","Pkn_3","Posterior",3.02083333333333
"6","Pkn_3","Prior",1.694
"7","Pkn_4","Posterior",3.05853333333333
"8","Pkn_4","Prior",1.886
