"","c","Process_type","pkn","name"
"1",0.1,"Pkn_n1",7,"MAP"
"2",0.5,"Pkn_n1",3,"MAP"
"3",1,"Pkn_n1",0,"MAP"
"4",2,"Pkn_n1",0,"MAP"
"5",0.1,"Pkn_n2",5,"MAP"
"6",0.5,"Pkn_n2",3,"MAP"
"7",1,"Pkn_n2",3,"MAP"
"8",2,"Pkn_n2",0,"MAP"
"9",0.1,"Pkn_n3",5,"MAP"
"10",0.5,"Pkn_n3",4,"MAP"
"11",1,"Pkn_n3",3,"MAP"
"12",2,"Pkn_n3",1,"MAP"
"13",0.1,"Pkn_n4",6,"MAP"
"14",0.5,"Pkn_n4",4,"MAP"
"15",1,"Pkn_n4",4,"MAP"
"16",2,"Pkn_n4",3,"MAP"
"17",0.1,"Pkn_n1",7.4088125,"Mean"
"18",0.5,"Pkn_n1",3.4989375,"Mean"
"19",1,"Pkn_n1",0.12725,"Mean"
"20",2,"Pkn_n1",0,"Mean"
"21",0.1,"Pkn_n2",4.789625,"Mean"
"22",0.5,"Pkn_n2",3.400625,"Mean"
"23",1,"Pkn_n2",2.4305625,"Mean"
"24",2,"Pkn_n2",0,"Mean"
"25",0.1,"Pkn_n3",5.1085625,"Mean"
"26",0.5,"Pkn_n3",3.8929375,"Mean"
"27",1,"Pkn_n3",3.3725,"Mean"
"28",2,"Pkn_n3",0.693875,"Mean"
"29",0.1,"Pkn_n4",5.86825,"Mean"
"30",0.5,"Pkn_n4",4.492875,"Mean"
"31",1,"Pkn_n4",4.003625,"Mean"
"32",2,"Pkn_n4",3.409125,"Mean"
